pair,logreg_val,logreg_val_inverted
ee_ee,0.9996996026093408,0.000300397390659235
ee_en,9.45766295705033e-10,0.9999999990542338
ee_fi,0.00013979815945157443,0.9998602018405485
ee_ge,2.470871308754441e-07,0.9999997529128691
ee_he,1.8275214257509374e-07,0.9999998172478575
ee_it,4.226855279836662e-05,0.9999577314472017
ee_sp,6.100129783155228e-06,0.9999938998702168
en_ee,9.45766295705033e-10,0.9999999990542338
en_en,0.9999818513576281,1.8148642371929036e-05
en_fi,1.0346987858668856e-05,0.9999896530121414
en_ge,1.16863317265155e-08,0.9999999883136683
en_he,1.9595888322418404e-09,0.9999999980404112
en_it,9.411533726168771e-07,0.9999990588466274
en_sp,1.212454326152961e-06,0.9999987875456738
fi_ee,0.00013979815945157443,0.9998602018405485
fi_en,1.0346987858668856e-05,0.9999896530121414
fi_fi,0.6834288942556527,0.3165711057443473
fi_ge,0.00662282767223478,0.9933771723277652
fi_he,0.010487196278917364,0.9895128037210826
fi_it,0.05221182502153334,0.9477881749784667
fi_sp,0.38132238615823444,0.6186776138417656
ge_ee,2.470871308754441e-07,0.9999997529128691
ge_en,1.16863317265155e-08,0.9999999883136683
ge_fi,0.00662282767223478,0.9933771723277652
ge_ge,0.8415309253203327,0.1584690746796673
ge_he,0.07639569736736326,0.9236043026326367
ge_it,0.016030950326467862,0.9839690496735322
ge_sp,0.026221980395805724,0.9737780196041943
he_ee,1.8275214257509374e-07,0.9999998172478575
he_en,1.9595888322418404e-09,0.9999999980404112
he_fi,0.010487196278917364,0.9895128037210826
he_ge,0.07639569736736326,0.9236043026326367
he_he,0.49986648890461716,0.5001335110953828
he_it,0.09011904118956642,0.9098809588104336
he_sp,0.06068418500358248,0.9393158149964175
it_ee,4.226855279836662e-05,0.9999577314472017
it_en,9.411533726168771e-07,0.9999990588466274
it_fi,0.05221182502153334,0.9477881749784667
it_ge,0.016030950326467862,0.9839690496735322
it_he,0.09011904118956642,0.9098809588104336
it_it,0.5437980375486037,0.4562019624513963
it_sp,0.37662020453790285,0.6233797954620972
sp_ee,6.100129783155228e-06,0.9999938998702168
sp_en,1.212454326152961e-06,0.9999987875456738
sp_fi,0.38132238615823444,0.6186776138417656
sp_ge,0.026221980395805724,0.9737780196041943
sp_he,0.06068418500358248,0.9393158149964175
sp_it,0.37662020453790285,0.6233797954620972
sp_sp,0.05781535178741025,0.9421846482125897
