pair,logreg_val,logreg_val_inverted
ee_ee,0.4404482764488821,0.5595517235511178
ee_fi,0.06459703238389468,0.9354029676161053
ee_ge,0.061564024392170826,0.9384359756078292
ee_he,0.10606564562926372,0.8939343543707363
ee_it,0.0625296015157759,0.9374703984842241
ee_en,0.02977301853462693,0.9702269814653731
ee_sp,0.19223392635806616,0.8077660736419339
fi_ee,0.06459703238389468,0.9354029676161053
fi_fi,2.601136370190546e-08,0.9999999739886363
fi_ge,0.24533677632874815,0.7546632236712518
fi_he,0.12446024237429326,0.8755397576257067
fi_it,0.00037698920302096575,0.999623010796979
fi_en,0.5997291438070028,0.4002708561929972
fi_sp,0.012795389490174029,0.987204610509826
ge_ee,0.061564024392170826,0.9384359756078292
ge_fi,0.24533677632874815,0.7546632236712518
ge_ge,3.973958849399484e-12,0.9999999999960261
ge_he,0.8891825491181666,0.11081745088183337
ge_it,0.014870297652161382,0.9851297023478386
ge_en,3.2343453658925646e-06,0.9999967656546341
ge_sp,0.06871420793525253,0.9312857920647475
he_ee,0.10606564562926372,0.8939343543707363
he_fi,0.12446024237429326,0.8755397576257067
he_ge,0.8891825491181666,0.11081745088183337
he_he,1.0358294137361114e-14,0.9999999999999897
he_it,0.25000196202382796,0.749998037976172
he_en,2.400117371691739e-14,0.999999999999976
he_sp,1.1071998205847508e-11,0.999999999988928
it_ee,0.0625296015157759,0.9374703984842241
it_fi,0.00037698920302096575,0.999623010796979
it_ge,0.014870297652161382,0.9851297023478386
it_he,0.25000196202382796,0.749998037976172
it_it,0.16666143796386898,0.833338562036131
it_en,0.2704686137014562,0.7295313862985437
it_sp,0.0008577415195273837,0.9991422584804727
en_ee,0.02977301853462693,0.9702269814653731
en_fi,0.5997291438070028,0.4002708561929972
en_ge,3.2343453658925646e-06,0.9999967656546341
en_he,2.400117371691739e-14,0.999999999999976
en_it,0.2704686137014562,0.7295313862985437
en_en,5.256572875917937e-15,0.9999999999999948
en_sp,0.05488643373544155,0.9451135662645584
sp_ee,0.19223392635806616,0.8077660736419339
sp_fi,0.012795389490174029,0.987204610509826
sp_ge,0.06871420793525253,0.9312857920647475
sp_he,1.1071998205847508e-11,0.999999999988928
sp_it,0.0008577415195273837,0.9991422584804727
sp_en,0.05488643373544155,0.9451135662645584
sp_sp,0.45727994470905964,0.5427200552909404
