pair,logreg_val,logreg_val_inverted
ee_ee,0.4381449044195877,0.5618550955804122
ee_en,0.0013295891654062442,0.9986704108345937
ee_fi,0.08640454732314815,0.9135954526768518
ee_ge,0.08805096812420267,0.9119490318757973
ee_he,0.000667866453136296,0.9993321335468637
ee_it,0.1026051156785131,0.897394884321487
ee_sp,0.06822027133004006,0.93177972866996
en_ee,0.0013295891654062442,0.9986704108345937
en_en,0.760232975526719,0.23976702447328102
en_fi,0.06721396528390508,0.9327860347160949
en_ge,3.897628418500882e-05,0.999961023715815
en_he,0.0003955711691312174,0.9996044288308688
en_it,5.4882458681287276e-08,0.9999999451175413
en_sp,0.07297142157400548,0.9270285784259945
fi_ee,0.08640454732314815,0.9135954526768518
fi_en,0.06721396528390508,0.9327860347160949
fi_fi,0.5718813532652698,0.4281186467347302
fi_ge,0.15486812435877953,0.8451318756412205
fi_he,0.2154882100070023,0.7845117899929976
fi_it,0.09621281679745142,0.9037871832025486
fi_sp,0.20359902802121332,0.7964009719787867
ge_ee,0.08805096812420267,0.9119490318757973
ge_en,3.897628418500882e-05,0.999961023715815
ge_fi,0.15486812435877953,0.8451318756412205
ge_ge,0.6759998560846786,0.3240001439153214
ge_he,0.07141195748328846,0.9285880425167116
ge_it,0.14165620491504585,0.8583437950849542
ge_sp,0.025644338925322453,0.9743556610746775
he_ee,0.000667866453136296,0.9993321335468637
he_en,0.0003955711691312174,0.9996044288308688
he_fi,0.2154882100070023,0.7845117899929976
he_ge,0.07141195748328846,0.9285880425167116
he_he,0.17300914915386156,0.8269908508461384
he_it,0.03396080395873117,0.9660391960412689
he_sp,0.0986502391285873,0.9013497608714127
it_ee,0.1026051156785131,0.897394884321487
it_en,5.4882458681287276e-08,0.9999999451175413
it_fi,0.09621281679745142,0.9037871832025486
it_ge,0.14165620491504585,0.8583437950849542
it_he,0.03396080395873117,0.9660391960412689
it_it,0.30614794940173823,0.6938520505982617
it_sp,0.3215588572126252,0.6784411427873748
sp_ee,0.06822027133004006,0.93177972866996
sp_en,0.07297142157400548,0.9270285784259945
sp_fi,0.20359902802121332,0.7964009719787867
sp_ge,0.025644338925322453,0.9743556610746775
sp_he,0.0986502391285873,0.9013497608714127
sp_it,0.3215588572126252,0.6784411427873748
sp_sp,0.2279392142965409,0.7720607857034592
