pair,logreg_val,logreg_val_inverted
de_de,0.7154132199996821,0.28458678000031795
de_en,0.008111932609192057,0.9918880673908079
de_es,0.07159989816431082,0.9284001018356891
de_et,0.022745875078799327,0.9772541249212006
de_fi,0.08368262887153019,0.9163173711284698
de_he,0.12625724256060927,0.8737427574393907
de_it,0.054698837122378954,0.945301162877621
en_de,0.008111932609192057,0.9918880673908079
en_en,0.9225037996680878,0.0774962003319122
en_es,0.007090729102160914,0.9929092708978391
en_et,0.005427795177983638,0.9945722048220164
en_fi,0.04956583604948988,0.9504341639505102
en_he,0.01644055732254488,0.9835594426774552
en_it,0.0007813963366897095,0.9992186036633102
es_de,0.07159989816431082,0.9284001018356891
es_en,0.007090729102160914,0.9929092708978391
es_es,0.22223938004701935,0.7777606199529806
es_et,0.030135593142737373,0.9698644068572626
es_fi,0.1744736772727125,0.8255263227272875
es_he,0.12496375339191419,0.8750362466080859
es_it,0.3013585095603573,0.6986414904396427
et_de,0.022745875078799327,0.9772541249212006
et_en,0.005427795177983638,0.9945722048220164
et_es,0.030135593142737373,0.9698644068572626
et_et,0.7164917653123644,0.2835082346876356
et_fi,0.06532301300712541,0.9346769869928746
et_he,0.020773498724589144,0.9792265012754108
et_it,0.07280743613286995,0.92719256386713
fi_de,0.08368262887153019,0.9163173711284698
fi_en,0.04956583604948988,0.9504341639505102
fi_es,0.1744736772727125,0.8255263227272875
fi_et,0.06532301300712541,0.9346769869928746
fi_fi,0.34891944294760135,0.6510805570523986
fi_he,0.1578211733575388,0.8421788266424611
fi_it,0.1408054230005827,0.8591945769994173
he_de,0.12625724256060927,0.8737427574393907
he_en,0.01644055732254488,0.9835594426774552
he_es,0.12496375339191419,0.8750362466080859
he_et,0.020773498724589144,0.9792265012754108
he_fi,0.1578211733575388,0.8421788266424611
he_he,0.3540824749097688,0.6459175250902311
he_it,0.15034300210448098,0.849656997895519
it_de,0.054698837122378954,0.945301162877621
it_en,0.0007813963366897095,0.9992186036633102
it_es,0.3013585095603573,0.6986414904396427
it_et,0.07280743613286995,0.92719256386713
it_fi,0.1408054230005827,0.8591945769994173
it_he,0.15034300210448098,0.849656997895519
it_it,0.3379135982304908,0.6620864017695093
